timestamp,command_address,response_address,command_memory,response_memory,crc_rate,packet_rate,packet_size,latency_ms,flow_duration,command_count,response_count,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,actuator_1,actuator_2,actuator_3,actuator_4,network_load,result
2026-01-01 00:00:00,155,117,4827,4789,0.52,356,533,56.93,309.88,232,89,27.75,27.88,20.5,29.4,28.59,25.54,0,0,0,1,60.22,4
2026-01-01 00:00:01,182,23,4479,4355,0.559,289,627,40.69,34.34,312,207,70.77,75.75,70.82,71.61,72.58,75.19,0,1,1,0,57.79,3
2026-01-01 00:00:02,172,88,2279,1829,0.198,89,1493,2.28,331.51,256,94,49.36,51.07,53.84,53.75,52.53,45.39,1,0,1,1,19.07,0
2026-01-01 00:00:03,28,10,1674,1977,0.822,114,1420,5.98,276.6,366,284,51.65,48.94,51.61,51.77,53.44,50.82,1,1,1,0,19.19,0
2026-01-01 00:00:04,183,52,3708,3867,0.602,169,416,38.41,398.42,189,347,62.38,66.57,68.06,61.4,61.68,64.89,1,1,1,1,44.7,2
2026-01-01 00:00:05,144,219,5024,5195,0.827,415,405,84.85,414.23,150,79,88.22,85.95,88.62,80.75,86.64,82.89,0,0,0,0,82.85,5
2026-01-01 00:00:06,102,174,5045,5166,0.268,385,883,79.28,269.57,390,165,87.16,88.91,82.43,86.64,89.41,80.02,0,1,0,1,85.37,5
2026-01-01 00:00:07,223,111,1779,2479,0.603,77,356,7.45,60.82,238,220,50.92,48.79,48.24,51.89,53.0,50.84,0,0,1,1,13.38,0
2026-01-01 00:00:08,248,135,5385,5245,0.635,535,977,92.27,458.96,134,152,97.32,98.94,93.76,97.68,93.41,93.37,1,1,0,1,95.32,6
2026-01-01 00:00:09,201,119,1740,1868,0.783,102,1304,3.56,50.05,173,353,46.94,47.56,49.4,49.82,52.97,51.25,1,0,1,1,21.82,0
2026-01-01 00:00:10,211,117,1801,2340,0.768,85,1003,5.6,77.58,333,173,46.92,50.93,51.63,53.23,54.3,49.91,0,0,0,1,14.7,0
2026-01-01 00:00:11,230,190,1946,2000,0.544,68,283,1.19,149.04,235,298,54.67,50.81,54.82,54.85,52.25,46.67,0,1,0,0,16.85,0
2026-01-01 00:00:12,214,198,5635,5919,0.248,456,324,118.32,482.86,326,176,98.01,99.36,95.24,91.7,92.82,92.16,0,0,1,0,95.76,6
2026-01-01 00:00:13,138,160,1771,1598,0.217,80,1225,4.3,132.82,55,71,47.53,50.4,53.1,53.68,50.07,52.98,1,1,0,1,26.19,0
2026-01-01 00:00:14,195,203,4773,4649,0.305,380,1332,68.87,296.71,143,212,27.11,28.72,22.73,26.63,21.37,27.03,0,0,1,0,61.38,4
2026-01-01 00:00:15,118,106,4583,4343,0.603,243,575,55.06,298.37,376,368,71.47,73.59,72.42,74.38,76.36,71.85,1,1,1,0,49.65,3
2026-01-01 00:00:16,111,114,3824,3765,0.117,252,221,29.05,319.82,215,89,60.04,62.27,69.02,62.38,69.43,64.4,1,0,0,0,48.66,2
2026-01-01 00:00:17,121,89,1935,2471,0.539,75,962,3.83,294.4,239,226,50.35,48.16,51.47,53.5,53.57,54.06,0,1,1,0,23.89,0
2026-01-01 00:00:18,32,243,1605,2392,0.739,60,1257,3.88,120.54,146,238,54.96,48.24,51.13,46.34,54.56,51.84,1,1,0,1,25.47,0
2026-01-01 00:00:19,72,32,1757,1961,0.713,113,1187,7.75,100.99,73,220,54.88,49.27,50.08,48.1,50.12,46.82,0,1,0,0,14.72,0
2026-01-01 00:00:20,25,217,1794,1994,0.885,90,812,2.36,68.09,289,214,49.46,54.41,49.45,47.74,47.08,51.52,1,1,0,0,28.38,0
2026-01-01 00:00:21,17,26,4205,4463,0.61,241,711,50.91,182.54,238,382,79.35,74.62,78.38,73.6,78.73,73.27,0,1,0,1,53.2,3
2026-01-01 00:00:22,62,213,3949,3953,0.167,208,372,38.44,187.28,370,185,69.37,60.47,60.83,63.66,67.54,60.62,1,0,1,0,46.9,2
2026-01-01 00:00:23,27,46,5256,5800,0.607,540,1020,109.62,60.99,62,248,95.83,91.09,98.82,91.09,90.85,96.49,1,0,0,0,98.28,6
2026-01-01 00:00:24,152,74,2443,1868,0.241,86,178,5.31,42.23,259,58,53.84,45.07,52.12,45.85,49.15,51.96,0,1,1,0,13.53,0
2026-01-01 00:00:25,63,157,4762,4613,0.659,397,584,68.84,160.14,170,271,27.69,28.69,20.75,29.26,25.05,21.5,1,0,0,0,64.84,4
2026-01-01 00:00:26,108,64,2468,1561,0.182,67,1003,3.28,63.23,213,261,50.53,47.84,51.8,48.67,48.25,46.98,1,0,1,0,28.69,0
2026-01-01 00:00:27,82,172,1842,2357,0.227,60,1447,5.19,69.98,39,201,50.98,51.4,45.95,45.49,53.81,53.43,1,0,1,0,22.38,0
2026-01-01 00:00:28,244,192,5344,5597,0.781,550,280,108.42,365.71,392,353,97.45,93.84,96.74,93.69,96.95,90.91,1,0,1,1,90.55,6
2026-01-01 00:00:29,36,32,4158,3740,0.297,249,712,30.79,232.92,117,119,69.31,69.4,61.5,65.18,64.29,64.55,0,1,1,0,37.96,2
2026-01-01 00:00:30,119,141,4811,4651,0.102,312,1002,59.38,15.74,341,206,24.44,26.25,27.81,22.29,29.62,28.79,1,1,0,0,65.92,4
2026-01-01 00:00:31,76,93,1506,2274,0.664,86,1280,2.55,498.24,30,122,48.41,50.33,46.74,53.19,46.18,50.45,1,0,1,0,27.77,0
2026-01-01 00:00:32,114,137,2256,2192,0.187,111,673,5.99,20.76,135,100,50.44,45.94,48.51,48.79,49.44,48.03,0,0,0,0,26.51,0
2026-01-01 00:00:33,40,56,5718,5346,0.227,600,1324,93.17,496.99,279,331,90.65,93.65,95.67,91.64,91.91,91.57,1,0,0,0,98.1,6
2026-01-01 00:00:34,176,29,3505,3499,0.9,163,337,29.66,55.7,235,88,30.67,35.82,32.61,34.47,37.49,35.32,1,1,1,1,27.5,1
2026-01-01 00:00:35,183,7,4321,4556,0.319,288,906,46.08,400.72,223,171,72.57,72.33,77.23,73.39,77.16,74.71,0,1,0,1,62.51,3
2026-01-01 00:00:36,182,203,5657,5356,0.597,481,740,92.78,13.35,251,97,93.94,97.72,92.32,91.63,94.51,96.9,1,1,0,0,94.51,6
2026-01-01 00:00:37,88,72,1867,2141,0.485,59,1117,6.49,347.34,182,302,53.69,49.11,47.87,50.55,45.4,46.05,0,1,0,0,21.28,0
2026-01-01 00:00:38,45,136,4126,3721,0.156,186,475,27.15,150.89,228,92,64.96,61.36,65.9,62.25,68.42,67.71,0,0,1,0,51.95,2
2026-01-01 00:00:39,107,117,5117,5021,0.562,423,835,83.87,88.36,350,98,83.68,86.45,86.43,89.82,85.08,89.91,0,0,0,0,82.32,5
2026-01-01 00:00:40,61,93,2142,2433,0.45,98,428,7.44,291.19,237,386,52.72,47.21,45.62,52.81,49.46,46.38,1,0,1,1,15.33,0
2026-01-01 00:00:41,110,247,1876,1870,0.384,80,427,3.78,78.36,55,336,52.9,51.34,49.7,51.28,51.26,53.44,1,1,0,0,22.33,0
2026-01-01 00:00:42,143,36,1964,2122,0.872,55,636,4.24,280.12,253,78,49.51,47.8,50.75,51.87,53.91,48.18,1,1,0,0,17.97,0
2026-01-01 00:00:43,76,35,4095,3863,0.512,202,236,32.39,180.13,204,297,66.21,61.03,65.88,66.0,62.32,65.45,1,1,0,0,38.03,2
2026-01-01 00:00:44,225,149,1774,2011,0.48,56,879,2.33,460.98,310,344,49.06,54.58,45.04,50.38,47.89,45.53,0,1,0,1,15.83,0
2026-01-01 00:00:45,106,132,3336,3195,0.667,216,572,20.5,147.14,100,376,37.16,35.52,36.28,31.23,39.22,38.46,1,1,1,0,30.98,1
2026-01-01 00:00:46,242,253,4800,4781,0.862,302,1348,55.03,155.15,230,317,25.23,25.58,21.4,26.28,23.44,25.8,1,0,1,0,65.1,4
2026-01-01 00:00:47,34,161,2195,2307,0.251,72,222,5.16,282.65,187,321,51.86,48.55,50.41,45.78,53.66,45.13,0,0,0,1,29.85,0
2026-01-01 00:00:48,73,41,2345,1924,0.712,117,774,2.4,163.84,400,22,52.21,52.03,53.87,46.75,45.26,45.12,0,0,1,1,24.6,0
2026-01-01 00:00:49,196,69,2179,1657,0.988,116,540,5.81,342.98,366,366,45.27,48.49,47.89,53.78,51.42,53.89,0,0,1,0,23.29,0
2026-01-01 00:00:50,147,89,1727,1594,0.422,60,448,5.26,165.9,131,314,49.26,46.12,46.15,45.01,46.82,51.37,1,1,0,1,24.39,0
2026-01-01 00:00:51,147,14,1848,2344,0.349,64,1166,7.9,120.16,72,339,45.17,46.55,50.57,52.94,49.32,50.59,0,1,1,1,26.09,0
2026-01-01 00:00:52,107,74,4125,3623,0.452,250,661,26.1,43.56,386,192,63.97,64.36,60.64,69.72,66.28,65.84,1,1,0,0,44.18,2
2026-01-01 00:00:53,253,242,3999,4091,0.893,250,1486,33.02,182.91,216,356,63.37,62.59,61.58,64.24,60.21,65.5,1,1,0,1,51.12,2
2026-01-01 00:00:54,77,143,2065,2413,0.171,93,1266,2.47,59.57,390,224,53.9,48.4,45.56,49.61,51.4,46.38,0,1,0,1,12.65,0
2026-01-01 00:00:55,163,114,5844,5340,0.856,465,155,95.09,72.65,231,155,96.92,93.03,94.23,98.79,95.48,96.63,0,1,0,0,97.24,6
